timestamp,water_temp,oat,heater_state,pump_state,pump_speed,waterfall_state,forecast_high,swimming_day
2026-04-08 20:10:00,78,64,off,on,55,off,75.0,No - Forecast 75.0°F
2026-04-08 20:20:00,unknown,64,off,off,0,off,75.0,No - Forecast 75.0°F
2026-04-08 20:30:00,78,64,off,off,0,off,75.0,No - Forecast 75.0°F
2026-04-08 20:40:00,unknown,64,off,on,65,off,75.0,No - Forecast 75.0°F
2026-04-08 20:50:00,78,64,off,on,65,off,75.0,No - Forecast 75.0°F
2026-04-08 21:00:00,unknown,64,off,on,0,off,75.0,No - Forecast 75.0°F
2026-04-08 21:10:00,78,64,off,on,65,off,75.0,No
2026-04-08 21:20:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 21:30:00,78,64,off,on,65,off,75.0,No
2026-04-08 21:40:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 21:50:00,78,64,off,on,65,off,75.0,No
2026-04-08 22:00:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 22:10:00,78,64,off,on,65,off,75.0,No
2026-04-08 22:20:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 22:30:00,78,64,off,on,65,off,75.0,No
2026-04-08 22:40:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 22:50:00,78,64,off,on,65,off,75.0,No
2026-04-08 23:00:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 23:10:00,78,64,off,on,65,off,75.0,No
2026-04-08 23:20:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 23:30:00,78,64,off,on,65,off,75.0,No
2026-04-08 23:40:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 23:50:00,78,64,off,on,65,off,75.0,No
2026-04-09 00:00:00,unknown,64,off,off,0,off,75.0,No
2026-04-09 00:10:00,78,63,off,on,65,off,75.0,No
2026-04-09 00:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 00:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 00:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 00:50:00,78,63,off,on,65,off,75.0,No
2026-04-09 01:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 01:10:00,78,63,off,on,65,off,75.0,No
2026-04-09 01:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 01:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 01:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 01:50:00,78,63,off,on,65,off,75.0,No
2026-04-09 02:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 02:10:00,78,63,off,off,0,off,75.0,No
2026-04-09 02:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 02:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 02:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 02:50:00,78,63,off,on,65,off,75.0,No
2026-04-09 03:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 03:10:00,78,63,off,off,0,off,75.0,No
2026-04-09 03:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 03:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 03:40:00,unknown,63,off,on,0,off,75.0,No
2026-04-09 03:50:00,77,63,off,off,0,off,75.0,No
2026-04-09 04:00:00,unknown,63,off,on,65,off,75.0,No
2026-04-09 04:10:00,77,63,off,on,65,off,75.0,No
2026-04-09 04:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 04:30:00,77,63,off,on,65,off,75.0,No
2026-04-09 04:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 04:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 05:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 05:10:00,77,63,off,on,65,off,75.0,No
2026-04-09 05:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 05:30:00,77,63,off,on,65,off,75.0,No
2026-04-09 05:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 05:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 06:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 06:10:00,77,63,on,off,0,off,75.0,No
2026-04-09 06:20:00,unknown,63,off,on,65,off,75.0,No
2026-04-09 06:30:00,77,63,on,off,0,off,75.0,No
2026-04-09 06:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 06:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 07:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 07:10:00,77,63,on,off,0,off,75.0,No
2026-04-09 07:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 07:30:00,77,63,on,off,0,off,75.0,No
2026-04-09 07:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 07:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 08:00:00,unknown,63,off,on,65,off,75.0,No
2026-04-09 08:10:00,77,63,off,on,65,off,75.0,No
2026-04-09 08:20:00,77,64,off,on,65,on,75.0,No
2026-04-09 08:30:00,77,64,off,on,65,on,75.0,No
2026-04-09 08:40:00,77,64,off,on,65,on,75.0,No
2026-04-09 08:50:00,77,64,off,on,65,on,75.0,No
2026-04-09 09:00:00,77,66,off,on,65,on,75.0,No
2026-04-09 09:10:00,77,68,off,on,65,on,75.0,No
2026-04-09 09:20:00,77,68,off,on,65,on,75.0,No
